epoch,train_rmse,test_rmse,epoch_time_seconds,num_threads,world_size
1,0.941683,0.951644,0.261426,8,4
2,0.917331,0.93186,0.30089,8,4
3,0.905855,0.923366,0.28124,8,4
4,0.898763,0.918554,0.291581,8,4
5,0.893551,0.915055,0.293054,8,4
6,0.889172,0.912621,0.278893,8,4
7,0.884631,0.909868,0.288133,8,4
8,0.88006,0.907208,0.287684,8,4
9,0.874745,0.903882,0.288813,8,4
10,0.868985,0.900255,0.27084,8,4
11,0.863012,0.896699,0.282856,8,4
12,0.856948,0.892929,0.288659,8,4
13,0.850924,0.889883,0.290019,8,4
14,0.844916,0.886684,0.299082,8,4
15,0.83904,0.883706,0.290169,8,4
16,0.833029,0.880649,0.27722,8,4
17,0.827251,0.878259,0.288793,8,4
18,0.821456,0.875687,0.344325,8,4
19,0.815837,0.87363,0.333526,8,4
20,0.810208,0.871335,0.279539,8,4
