epoch,train_rmse,test_rmse,epoch_time_seconds,num_threads,world_size
1,0.912837,0.925101,0.331176,8,1
2,0.898674,0.914762,0.286516,8,1
3,0.891915,0.910841,0.280594,8,1
4,0.885839,0.907367,0.291767,8,1
5,0.877686,0.902397,0.331218,8,1
6,0.867975,0.896384,0.294947,8,1
7,0.857582,0.890042,0.291917,8,1
8,0.847761,0.88499,0.287816,8,1
9,0.83756,0.880265,0.312705,8,1
10,0.827381,0.875123,0.367913,8,1
11,0.81737,0.87146,0.318211,8,1
12,0.807579,0.867807,0.310271,8,1
13,0.798049,0.864642,0.310174,8,1
14,0.788865,0.862269,0.301935,8,1
15,0.780089,0.860196,0.305125,8,1
16,0.771451,0.858121,0.371073,8,1
17,0.763496,0.856952,0.289836,8,1
18,0.755716,0.85587,0.290335,8,1
19,0.74834,0.854794,0.286276,8,1
20,0.741478,0.854007,0.29426,8,1
